,date,1920 Revolution Brigades,AQI,Abu Hafs al-Masri Brigades,Al Zawahiri Loyalists,Ansar al-Din,Ansar al-Islam,Ansar al-Jihad,Ansar al-Sunna,Armed Vanguards of a Second Mohammed Army,Badr Brigades,Brigades of Iman Hassan-al-Basri,Holders of the Black Banners,Imam Hussein Brigade,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq),Islamic Jihad Brigades,Islamic Movement of Iraqi Mujahidin,Jaish al-Ta'ifa al-Mansura,Junaid Jihadist Battalion,Khalid ibn Walid Brigade,Liberals of Galilee,Mahdi Army,Mujahedeen Army,Mujahedeen Brigades,Mujahedeen Corps in Iraq,Mujahedeen Group,Mujahedeen Shura Council,Omar Bin Khattab Group,Protectors of Islam Brigade,Supreme Council for Islamic Revolution in Iraq (SCIRI),Takfir wal-Hijra (Excommunication and Exodus)
177,2001-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2001-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2001-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,2001-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2001-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2001-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2001-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2001-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,2001-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2001-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,2001-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2001-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2001-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2001-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
192,2001-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2001-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2001-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2001-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2001-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2001-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2001-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2001-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2001-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2001-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2001-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2001-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2001-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2001-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2001-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2001-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2001-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2001-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2001-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2001-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2001-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2001-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2001-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2001-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2001-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2001-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2001-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2001-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2001-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2001-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2001-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2001-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2001-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2001-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2001-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2001-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2001-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2001-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2001-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2001-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2001-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2001-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2001-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2001-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2001-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2001-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,2001-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2001-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2001-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2001-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,2001-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2001-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2001-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2001-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2001-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2001-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2001-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2001-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2001-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2001-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2001-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2001-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2001-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2001-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2001-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2001-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2001-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2001-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2001-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2001-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2001-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2001-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2001-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2001-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2001-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2001-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2001-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2001-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2001-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2001-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2001-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2001-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2001-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2001-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2001-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2001-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2001-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2001-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2001-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2001-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2001-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2001-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2001-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2001-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2001-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2001-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2001-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2001-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2001-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2001-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2001-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2001-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2001-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2001-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,2001-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2001-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2001-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2001-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2001-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2001-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2001-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2001-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2001-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2001-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2001-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2001-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2001-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2001-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2001-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2001-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2001-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2001-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2001-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2001-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2001-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2001-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2001-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2001-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2001-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2001-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2001-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2001-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2001-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2001-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2001-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2001-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2001-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2001-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2001-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
