run,alpha,beta,omega,country,pfrac
118442,0.050000,5.500000,0.900000,Afghanistan,0.572667
643754,0.050000,5.500000,1.000000,Afghanistan,0.568000
1007522,0.050000,6.000000,0.000000,Afghanistan,0.577333
435122,0.050000,6.000000,0.100000,Afghanistan,0.574000
216746,0.050000,6.000000,0.200000,Afghanistan,0.574667
851354,0.050000,6.000000,0.300000,Afghanistan,0.568667
278954,0.050000,6.000000,0.400000,Afghanistan,0.576000
272042,0.050000,6.000000,0.500000,Afghanistan,0.573333
968426,0.050000,6.000000,0.600000,Afghanistan,0.568000
122786,0.050000,6.000000,0.700000,Afghanistan,0.580667
1163690,0.050000,6.000000,0.800000,Afghanistan,0.578000
539018,0.050000,6.000000,0.900000,Afghanistan,0.570667
9386,0.050000,6.000000,1.000000,Afghanistan,0.568000
204458,0.050000,6.500000,0.000000,Afghanistan,0.574667
273578,0.050000,6.500000,0.100000,Afghanistan,0.570667
962834,0.050000,6.500000,0.200000,Afghanistan,0.569333
64922,0.050000,6.500000,0.300000,Afghanistan,0.567333
1105826,0.050000,6.500000,0.400000,Afghanistan,0.562000
533426,0.050000,6.500000,0.500000,Afghanistan,0.564667
740354,0.050000,6.500000,0.600000,Afghanistan,0.577333
949658,0.050000,6.500000,0.700000,Afghanistan,0.571333
377258,0.050000,6.500000,0.800000,Afghanistan,0.568667
674474,0.050000,6.500000,0.900000,Afghanistan,0.568000
315914,0.050000,6.500000,1.000000,Afghanistan,0.578000
1047962,0.050000,7.000000,0.000000,Afghanistan,0.564000
475562,0.050000,7.000000,0.100000,Afghanistan,0.574667
12458,0.050000,7.000000,0.200000,Afghanistan,0.577333
891794,0.050000,7.000000,0.300000,Afghanistan,0.572667
319394,0.050000,7.000000,0.400000,Afghanistan,0.560667
371882,0.050000,7.000000,0.500000,Afghanistan,0.573333
735626,0.050000,7.000000,0.600000,Afghanistan,0.569333
163226,0.050000,7.000000,0.700000,Afghanistan,0.572667
118298,0.050000,7.000000,0.800000,Afghanistan,0.568000
579458,0.050000,7.000000,0.900000,Afghanistan,0.569333
7058,0.050000,7.000000,1.000000,Afghanistan,0.572667
261530,0.050000,7.500000,0.000000,Afghanistan,0.569333
373418,0.050000,7.500000,0.100000,Afghanistan,0.580667
730034,0.050000,7.500000,0.200000,Afghanistan,0.574667
105362,0.050000,7.500000,0.300000,Afghanistan,0.567333
1146266,0.050000,7.500000,0.400000,Afghanistan,0.570000
573866,0.050000,7.500000,0.500000,Afghanistan,0.583333
1466,0.050000,7.500000,0.600000,Afghanistan,0.557333
990098,0.050000,7.500000,0.700000,Afghanistan,0.582000
417698,0.050000,7.500000,0.800000,Afghanistan,0.574000
470186,0.050000,7.500000,0.900000,Afghanistan,0.572667
886202,0.050000,7.500000,1.000000,Afghanistan,0.566667
1088402,0.050000,8.000000,0.000000,Afghanistan,0.562667
516002,0.050000,8.000000,0.100000,Afghanistan,0.571333
929642,0.050000,8.000000,0.200000,Afghanistan,0.582667
984506,0.050000,8.000000,0.300000,Afghanistan,0.580667
359834,0.050000,8.000000,0.400000,Afghanistan,0.572000
15530,0.050000,8.000000,0.500000,Afghanistan,0.568000
828338,0.050000,8.000000,0.600000,Afghanistan,0.566000
203666,0.050000,8.000000,0.700000,Afghanistan,0.563333
222890,0.050000,8.000000,0.800000,Afghanistan,0.568000
672170,0.050000,8.000000,0.900000,Afghanistan,0.579333
99770,0.050000,8.000000,1.000000,Afghanistan,0.579333
213845,0.100000,4.000000,0.000000,Afghanistan,0.563333
435029,0.100000,4.000000,0.100000,Afghanistan,0.571333
352085,0.100000,4.000000,0.200000,Afghanistan,0.574667
725333,0.100000,4.000000,0.300000,Afghanistan,0.552000
794453,0.100000,4.000000,0.400000,Afghanistan,0.562000
255317,0.100000,4.000000,0.500000,Afghanistan,0.559333
780629,0.100000,4.000000,0.600000,Afghanistan,0.571333
697685,0.100000,4.000000,0.700000,Afghanistan,0.562000
614741,0.100000,4.000000,0.800000,Afghanistan,0.558667
683861,0.100000,4.000000,0.900000,Afghanistan,0.566000
448853,0.100000,4.000000,1.000000,Afghanistan,0.565333
187733,0.100000,4.500000,0.000000,Afghanistan,0.566667
256853,0.100000,4.500000,0.100000,Afghanistan,0.582000
630101,0.100000,4.500000,0.200000,Afghanistan,0.563333
243029,0.100000,4.500000,0.300000,Afghanistan,0.568667
616277,0.100000,4.500000,0.400000,Afghanistan,0.574000
77141,0.100000,4.500000,0.500000,Afghanistan,0.564000
450389,0.100000,4.500000,0.600000,Afghanistan,0.572000
367445,0.100000,4.500000,0.700000,Afghanistan,0.568000
436565,0.100000,4.500000,0.800000,Afghanistan,0.564000
353621,0.100000,4.500000,0.900000,Afghanistan,0.556667
726869,0.100000,4.500000,1.000000,Afghanistan,0.552000
617813,0.100000,5.000000,0.000000,Afghanistan,0.571333
484973,0.100000,5.000000,0.100000,Afghanistan,0.564667
451925,0.100000,5.000000,0.200000,Afghanistan,0.571333
521045,0.100000,5.000000,0.300000,Afghanistan,0.567333
742229,0.100000,5.000000,0.400000,Afghanistan,0.561333
51029,0.100000,5.000000,0.500000,Afghanistan,0.560000
797309,0.100000,5.000000,0.600000,Afghanistan,0.571333
189269,0.100000,5.000000,0.700000,Afghanistan,0.560667
106325,0.100000,5.000000,0.800000,Afghanistan,0.564000
23381,0.100000,5.000000,0.900000,Afghanistan,0.568667
396629,0.100000,5.000000,1.000000,Afghanistan,0.553333
287573,0.100000,5.500000,0.000000,Afghanistan,0.570667
204629,0.100000,5.500000,0.100000,Afghanistan,0.570667
739445,0.100000,5.500000,0.200000,Afghanistan,0.562000
646997,0.100000,5.500000,0.300000,Afghanistan,0.573333
716117,0.100000,5.500000,0.400000,Afghanistan,0.570667
583277,0.100000,5.500000,0.500000,Afghanistan,0.572667
246101,0.100000,5.500000,0.600000,Afghanistan,0.560667
163157,0.100000,5.500000,0.700000,Afghanistan,0.574667
427109,0.100000,5.500000,0.800000,Afghanistan,0.561333
149333,0.100000,5.500000,0.900000,Afghanistan,0.568000
370517,0.100000,5.500000,1.000000,Afghanistan,0.566000
109397,0.100000,6.000000,0.000000,Afghanistan,0.574000
482645,0.100000,6.000000,0.100000,Afghanistan,0.558000
551765,0.100000,6.000000,0.200000,Afghanistan,0.574000
468821,0.100000,6.000000,0.300000,Afghanistan,0.575333
385877,0.100000,6.000000,0.400000,Afghanistan,0.564000
302933,0.100000,6.000000,0.500000,Afghanistan,0.578000
676181,0.100000,6.000000,0.600000,Afghanistan,0.567333
289109,0.100000,6.000000,0.700000,Afghanistan,0.569333
206165,0.100000,6.000000,0.800000,Afghanistan,0.566000
681581,0.100000,6.000000,0.900000,Afghanistan,0.571333
648533,0.100000,6.000000,1.000000,Afghanistan,0.565333
235349,0.100000,6.500000,0.000000,Afghanistan,0.568667
304469,0.100000,6.500000,0.100000,Afghanistan,0.578000
677717,0.100000,6.500000,0.200000,Afghanistan,0.574667
746837,0.100000,6.500000,0.300000,Afghanistan,0.574000
663893,0.100000,6.500000,0.400000,Afghanistan,0.566000
124757,0.100000,6.500000,0.500000,Afghanistan,0.561333
41813,0.100000,6.500000,0.600000,Afghanistan,0.585333
415061,0.100000,6.500000,0.700000,Afghanistan,0.561333
636245,0.100000,6.500000,0.800000,Afghanistan,0.562667
401237,0.100000,6.500000,0.900000,Afghanistan,0.566667
318293,0.100000,6.500000,1.000000,Afghanistan,0.568667
665429,0.100000,7.000000,0.000000,Afghanistan,0.560667
126293,0.100000,7.000000,0.100000,Afghanistan,0.572000
499541,0.100000,7.000000,0.200000,Afghanistan,0.572000
568661,0.100000,7.000000,0.300000,Afghanistan,0.573333
485717,0.100000,7.000000,0.400000,Afghanistan,0.565333
98645,0.100000,7.000000,0.500000,Afghanistan,0.568000
776021,0.100000,7.000000,0.600000,Afghanistan,0.576000
236885,0.100000,7.000000,0.700000,Afghanistan,0.569333
762197,0.100000,7.000000,0.800000,Afghanistan,0.584667
223061,0.100000,7.000000,0.900000,Afghanistan,0.576000
140117,0.100000,7.000000,1.000000,Afghanistan,0.578000
335189,0.100000,7.500000,0.000000,Afghanistan,0.564667
100181,0.100000,7.500000,0.100000,Afghanistan,0.571333
777557,0.100000,7.500000,0.200000,Afghanistan,0.585333
694613,0.100000,7.500000,0.300000,Afghanistan,0.578667
155477,0.100000,7.500000,0.400000,Afghanistan,0.577333
680789,0.100000,7.500000,0.500000,Afghanistan,0.558000
141653,0.100000,7.500000,0.600000,Afghanistan,0.568667
362837,0.100000,7.500000,0.700000,Afghanistan,0.566000
279893,0.100000,7.500000,0.800000,Afghanistan,0.564667
501077,0.100000,7.500000,0.900000,Afghanistan,0.570000
418133,0.100000,7.500000,1.000000,Afghanistan,0.566667
157013,0.100000,8.000000,0.000000,Afghanistan,0.574667
682325,0.100000,8.000000,0.100000,Afghanistan,0.568667
295253,0.100000,8.000000,0.200000,Afghanistan,0.579333
60245,0.100000,8.000000,0.300000,Afghanistan,0.566000
433493,0.100000,8.000000,0.400000,Afghanistan,0.576000
806741,0.100000,8.000000,0.500000,Afghanistan,0.563333
419669,0.100000,8.000000,0.600000,Afghanistan,0.578000
336725,0.100000,8.000000,0.700000,Afghanistan,0.572667
253781,0.100000,8.000000,0.800000,Afghanistan,0.574000
779093,0.100000,8.000000,0.900000,Afghanistan,0.570667
696149,0.100000,8.000000,1.000000,Afghanistan,0.564667
1145243,0.200000,4.000000,0.000000,Afghanistan,0.558667
625115,0.200000,4.000000,0.100000,Afghanistan,0.548667
52715,0.200000,4.000000,0.200000,Afghanistan,0.560000
556643,0.200000,4.000000,0.300000,Afghanistan,0.544000
468947,0.200000,4.000000,0.400000,Afghanistan,0.554000
74747,0.200000,4.000000,0.500000,Afghanistan,0.542000
937451,0.200000,4.000000,0.600000,Afghanistan,0.551333
365051,0.200000,4.000000,0.700000,Afghanistan,0.536000
738299,0.200000,4.000000,0.800000,Afghanistan,0.534667
781283,0.200000,4.000000,0.900000,Afghanistan,0.516667
208883,0.200000,4.000000,1.000000,Afghanistan,0.506000
411083,0.200000,4.500000,0.000000,Afghanistan,0.570667
359027,0.200000,4.500000,0.100000,Afghanistan,0.568667
879587,0.200000,4.500000,0.200000,Afghanistan,0.556667
307187,0.200000,4.500000,0.300000,Afghanistan,0.560000
1005947,0.200000,4.500000,0.400000,Afghanistan,0.549333
136547,0.200000,4.500000,0.500000,Afghanistan,0.556667
151019,0.200000,4.500000,0.600000,Afghanistan,0.555333
1139651,0.200000,4.500000,0.700000,Afghanistan,0.534000
567251,0.200000,4.500000,0.800000,Afghanistan,0.544667
477179,0.200000,4.500000,0.900000,Afghanistan,0.537333
1035755,0.200000,4.500000,1.000000,Afghanistan,0.532667
1185683,0.200000,5.000000,0.000000,Afghanistan,0.554000
665555,0.200000,5.000000,0.100000,Afghanistan,0.552667
93155,0.200000,5.000000,0.200000,Afghanistan,0.567333
1134059,0.200000,5.000000,0.300000,Afghanistan,0.547333
509387,0.200000,5.000000,0.400000,Afghanistan,0.567333
22523,0.200000,5.000000,0.500000,Afghanistan,0.551333
977891,0.200000,5.000000,0.600000,Afghanistan,0.554000
405491,0.200000,5.000000,0.700000,Afghanistan,0.561333
381947,0.200000,5.000000,0.800000,Afghanistan,0.542667
821723,0.200000,5.000000,0.900000,Afghanistan,0.556000
249323,0.200000,5.000000,1.000000,Afghanistan,0.544000
